
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-06-12;22.884,19;557555250525;24.273,96;610408389180;21.464,48;759772383258;38.969,02;54098732319;22.414,57;588925672746
2010-06-13;22.884,19;557555250525;24.273,96;610408389180;21.464,48;759772383258;38.969,02;54098732319;22.414,57;588925672746
2010-06-14;22.890,46;558973543230;24.278,81;611682985957;21.473,74;762451542094;38.952,80;54716736961;22.423,63;591884863896
2010-06-15;22.866,44;559496341792;24.263,49;617832585371;21.465,16;766195408198;38.927,10;54755099844;22.395,85;592540495304
2010-06-16;22.879,90;560216890517;24.289,44;620242776886;21.471,83;767370899190;38.936,57;54924368599;22.399,79;593838886830
2010-06-17;22.865,97;560950649015;24.266,46;621522536638;21.453,42;768499647422;38.908,08;55411886368;22.387,17;595144081566
2010-06-18;22.871,10;561010083301;24.284,45;621744309003;21.457,07;769569924775;38.919,55;55842897439;22.399,17;595491570053
2010-06-19;22.871,10;561010083301;24.284,45;621744309003;21.457,07;769569924775;38.919,55;55842897439;22.399,17;595491570053
2010-06-20;22.871,10;561010083301;24.284,45;621744309003;21.457,07;769569924775;38.919,55;55842897439;22.399,17;595491570053
2010-06-21;22.894,89;560027529159;24.302,14;619743754425;21.465,01;768151236241;38.933,35;56770969939;22.408,24;594869314822
2010-06-22;22.903,79;558634263663;24.306,17;617016279204;21.474,51;765748857347;38.938,16;56885542581;22.420,14;592621578551
2010-06-23;22.906,13;556740046709;24.304,30;614564257593;21.476,16;760143814158;38.944,75;57040476486;22.425,70;590866208147
2010-06-24;22.932,93;555708928845;24.346,87;611236707767;21.503,25;754078731223;38.985,64;57017555321;22.457,32;590275243541
2010-06-25;22.932,69;553592571692;24.320,12;608239604233;21.473,52;749934801306;38.975,92;57012966913;22.451,37;589434809836
2010-06-26;22.932,69;553592571692;24.320,12;608239604233;21.473,52;749934801306;38.975,92;57012966913;22.451,37;589434809836
2010-06-27;22.932,69;553592571692;24.320,12;608239604233;21.473,52;749934801306;38.975,92;57012966913;22.451,37;589434809836
2010-06-28;22.932,69;553592571692;24.320,12;608239604233;21.473,52;749934801306;38.975,92;57012966913;22.451,37;589434809836
2010-06-29;22.936,84;551979625473;24.307,43;606975918325;21.461,50;746827475721;38.988,87;57052667638;22.453,87;588464938695
2010-06-30;22.936,69;551188274747;24.313,89;606276106458;21.455,36;744933792852;38.997,11;57130091545;22.456,51;587750401877
2010-07-01;22.944,96;551958918141;24.334,25;607669001288;21.464,33;742129176353;38.995,84;56934398715;22.472,16;587188020615
2010-07-02;22.952,73;550071687852;24.343,51;607775948540;21.485,06;741550452062;39.026,62;56933003587;22.494,67;587211467257
2010-07-03;22.952,73;550071687852;24.343,51;607775948540;21.485,06;741550452062;39.026,62;56933003587;22.494,67;587211467257
2010-07-04;22.952,73;550071687852;24.343,51;607775948540;21.485,06;741550452062;39.026,62;56933003587;22.494,67;587211467257
2010-07-05;22.946,18;551299760679;24.332,69;612517041571;21.491,31;743085017675;39.019,35;56928319027;22.493,08;588931223046
2010-07-06;22.953,82;553152363739;24.329,59;615528896048;21.495,30;747157623488;39.022,60;57746226030;22.490,70;591220639985
2010-07-07;22.963,35;554522597547;24.352,52;620211043590;21.507,07;749160620265;39.041,74;57716593597;22.504,66;594617599962
2010-07-08;22.999,74;557985276931;24.410,62;623738205429;21.535,73;750301591678;39.085,70;57787693870;22.516,01;594812432288
2010-07-09;23.022,52;559755029045;24.441,52;625766328259;21.553,48;751473744789;39.085,41;57968165240;22.537,01;593551851870
2010-07-10;23.022,52;559755029045;24.441,52;625766328259;21.553,48;751473744789;39.085,41;57968165240;22.537,01;593551851870
2010-07-11;23.022,52;559755029045;24.441,52;625766328259;21.553,48;751473744789;39.085,41;57968165240;22.537,01;593551851870
2010-07-12;23.037,29;559204935563;24.455,90;624829513234;21.563,07;750551025889;39.105,34;58050964403;22.546,44;592931303280
2010-07-13;23.045,76;558384717970;24.468,55;623350984372;21.574,05;750568967275;39.125,19;58083093984;22.552,29;592375367605
2010-07-14;23.053,87;558465815533;24.476,13;623300693684;21.590,38;749855403068;39.134,46;58252361759;22.557,03;592141047991
2010-07-15;23.105,47;558877336004;24.500,21;624770805924;21.611,16;746693955286;39.192,58;57730379151;22.592,36;591960798091
2010-07-16;23.105,47;558877336004;24.500,21;624770805924;21.611,16;746693955286;39.192,58;57730379151;22.592,36;591960798091
2010-07-17;23.105,47;558877336004;24.500,21;624770805924;21.611,16;746693955286;39.192,58;57730379151;22.592,36;591960798091
2010-07-18;23.105,47;558877336004;24.500,21;624770805924;21.611,16;746693955286;39.192,58;57730379151;22.592,36;591960798091
2010-07-19;23.089,99;558356877655;24.495,53;623542498059;21.603,81;744738509883;39.185,92;57775390728;22.577,75;590853175133
2010-07-20;23.098,00;556552014962;24.510,51;618029641433;21.613,24;740771140682;39.200,22;57940296041;22.581,13;588657766985
2010-07-21;23.104,51;558110488827;24.522,69;614067250841;21.616,84;736088148747;39.219,83;58390531340;22.592,72;587279490344
2010-07-22;23.077,37;555844069816;24.508,40;611587046931;21.613,85;731178649750;39.203,48;58388668246;22.569,59;586339381970
2010-07-23;23.064,40;554926880475;24.490,63;610718409782;21.591,12;730190114629;39.180,03;58346337032;22.567,83;584220993015
2010-07-24;23.064,40;554926880475;24.490,63;610718409782;21.591,12;730190114629;39.180,03;58346337032;22.567,83;584220993015
2010-07-25;23.064,40;554926880475;24.490,63;610718409782;21.591,12;730190114629;39.180,03;58346337032;22.567,83;584220993015
2010-07-26;23.085,13;553754278510;24.499,58;609507670930;21.611,97;729411004758;39.215,29;58475239381;22.586,71;583979761237
2010-07-27;23.094,94;552231420820;24.509,47;608246120369;21.607,91;728142119331;39.221,10;58292430219;22.593,55;583859897123
2010-07-28;23.102,39;550775056930;24.521,42;607290050369;21.611,68;726367132031;39.233,76;58408899678;22.603,49;583597866391
2010-07-29;23.131,68;548380881736;24.570,27;605399405586;21.652,09;723422289158;39.279,77;58479451628;22.640,08;584066173337
2010-07-30;23.194,38;548024592908;24.614,96;603106659852;21.709,09;721884344785;39.371,71;58571918996;22.695,03;582676103686
2010-07-31;23.194,38;548024592908;24.614,96;603106659852;21.709,09;721884344785;39.371,71;58571918996;22.695,03;582676103686
2010-08-01;23.194,38;548024592908;24.614,96;603106659852;21.709,09;721884344785;39.371,71;58571918996;22.695,03;582676103686
2010-08-02;23.211,44;548991289921;24.658,59;598180458854;21.750,45;717861340301;39.395,69;58163547356;22.720,39;579845669833
