
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-04-24;24.200,10;3332848843775;24.533,73;3345349267984;24.726,88;3161798478412;23.343,20;276626001267;25.092,67;3664144152825
2010-04-25;24.200,10;3332848843775;24.533,73;3345349267984;24.726,88;3161798478412;23.343,20;276626001267;25.092,67;3664144152825
2010-04-26;24.303,30;3348729002626;24.642,75;3361169541893;24.837,08;3177078082507;23.447,75;277934160580;25.203,73;3681306119281
2010-04-27;24.369,68;3356728449877;24.702,74;3370465920316;24.901,74;3187010175299;23.507,54;278674780809;25.260,32;3690119457626
2010-04-28;24.065,13;3315329990552;24.437,27;3334155680140;24.553,07;3143390268220;23.207,42;275284901103;24.951,01;3647629323295
2010-04-29;24.035,34;3312003343277;24.375,15;3326710632538;24.532,31;3142362716733;23.164,23;274930166868;24.906,56;3640398768109
2010-04-30;24.168,96;3326364033112;24.498,45;3340904134789;24.689,76;3157773398751;23.300,99;275998397287;25.053,70;3663381172514
2010-05-01;24.168,96;3326364033112;24.498,45;3340904134789;24.689,76;3157773398751;23.300,99;275998397287;25.053,70;3663381172514
2010-05-02;24.168,96;3326364033112;24.498,45;3340904134789;24.689,76;3157773398751;23.300,99;275998397287;25.053,70;3663381172514
2010-05-03;24.091,29;3307548625372;24.445,69;3333772938209;24.592,35;3151976623522;23.248,46;270504729921;24.970,59;3660893909187
2010-05-04;24.110,05;3314144072738;24.454,13;3331492771884;24.633,95;3155861679695;23.267,62;270771685181;25.004,32;3659676103197
2010-05-05;23.795,61;3271454121648;24.204,41;3296757473279;24.288,31;3112096251450;22.954,01;273359424434;24.679,61;3613717503553
2010-05-06;23.520,05;3233041975920;23.946,20;3261248888377;24.050,41;3081881826242;22.702,19;270359070350;24.407,94;3574423210871
2010-05-07;23.038,48;3167267604532;23.517,79;3203491942762;23.556,02;3019549806934;22.257,39;265193896416;23.915,30;3502794563685
2010-05-08;23.038,48;3167267604532;23.517,79;3203491942762;23.556,02;3019549806934;22.257,39;265193896416;23.915,30;3502794563685
2010-05-09;23.038,48;3167267604532;23.517,79;3203491942762;23.556,02;3019549806934;22.257,39;265193896416;23.915,30;3502794563685
2010-05-10;22.794,83;3133643500304;23.277,86;3168999139105;23.330,41;2986529314444;22.029,04;262557061702;23.673,50;3468115979519
2010-05-11;23.393,08;3212784627937;23.856,14;3242252653502;23.952,55;3059990488368;22.651,77;270056173764;24.330,95;3560684554101
2010-05-12;23.446,93;3214160315246;23.902,52;3239390279034;23.978,21;3054773297125;22.624,78;269551287348;24.344,40;3557495874806
2010-05-13;23.584,25;3221968909999;24.025,04;3242749200986;24.121,48;3056606428292;22.749,29;271129307123;24.483,64;3571112704005
2010-05-14;23.662,55;3233157843714;24.095,25;3246636068566;24.155,91;3062524123645;22.785,22;271679155509;24.531,85;3576569600055
2010-05-15;23.662,55;3233157843714;24.095,25;3246636068566;24.155,91;3062524123645;22.785,22;271679155509;24.531,85;3576569600055
2010-05-16;23.662,55;3233157843714;24.095,25;3246636068566;24.155,91;3062524123645;22.785,22;271679155509;24.531,85;3576569600055
2010-05-17;23.449,07;3207367559229;23.903,23;3232678783211;23.957,49;3056644191594;22.552,77;264739128804;24.304,47;3551933927793
2010-05-18;23.290,37;3185838562688;23.723,41;3208975383584;23.860,29;3046164802396;22.399,43;262938664992;24.143,12;3529049206354
2010-05-19;23.275,68;3184303713097;23.758,04;3215017771938;23.871,14;3048919684556;22.404,86;269218971393;24.148,95;3530677456944
2010-05-20;23.037,49;3150567025781;23.488,17;3174129546718;23.672,73;3020503081325;22.162,60;266308241934;23.876,83;3489603920420
2010-05-21;23.037,49;3150567025781;23.488,17;3174129546718;23.672,73;3020503081325;22.162,60;266308241934;23.876,83;3489603920420
2010-05-22;23.037,49;3150567025781;23.488,17;3174129546718;23.672,73;3020503081325;22.162,60;266308241934;23.876,83;3489603920420
2010-05-23;23.037,49;3150567025781;23.488,17;3174129546718;23.672,73;3020503081325;22.162,60;266308241934;23.876,83;3489603920420
2010-05-24;22.421,20;3066126658986;22.890,27;3090559802298;23.134,35;2948867304179;21.665,34;260340224605;23.300,86;3403236011624
2010-05-25;22.281,21;3046648024315;22.751,80;3069782534677;22.947,83;2924390397788;21.553,94;258986117167;23.141,37;3379316614931
2010-05-26;22.014,65;3008365082691;22.466,11;3026805318844;22.696,62;2888293485151;21.266,61;255437401293;22.831,58;3332063811665
2010-05-27;22.185,22;3027533773464;22.709,53;3050126576290;22.876,82;2904754066367;21.473,79;257900300498;23.053,76;3361391459020
2010-05-28;22.555,53;3075969279837;23.014,78;3086924944875;23.261,41;2950601427176;21.841,12;262298161293;23.434,11;3413715155524
2010-05-29;22.555,53;3075969279837;23.014,78;3086924944875;23.261,41;2950601427176;21.841,12;262298161293;23.434,11;3413715155524
2010-05-30;22.555,53;3075969279837;23.014,78;3086924944875;23.261,41;2950601427176;21.841,12;262298161293;23.434,11;3413715155524
2010-05-31;22.639,31;3068519628730;23.128,33;3082224873740;23.289,54;2934595540730;21.896,06;262441231944;23.507,00;3415616654731
2010-06-01;22.758,62;3076621881139;23.260,12;3086656599205;23.423,03;2944557260889;22.017,08;258995191602;23.635,21;3432171173559
2010-06-02;22.589,69;3040877735366;23.090,98;3055372331240;23.283,60;2919475865477;21.848,27;256609727292;23.452,12;3395013024751
2010-06-03;22.782,84;3063137685418;23.229,99;3066848358799;23.475,08;2937352486594;22.007,98;262715095539;23.655,22;3420893120284
2010-06-04;22.962,74;3085351032525;23.459,24;3093730884534;23.645,12;2955208108531;22.185,35;264638525953;23.852,21;3445673117569
2010-06-05;22.962,74;3085351032525;23.459,24;3093730884534;23.645,12;2955208108531;22.185,35;264638525953;23.852,21;3445673117569
2010-06-06;22.962,74;3085351032525;23.459,24;3093730884534;23.645,12;2955208108531;22.185,35;264638525953;23.852,21;3445673117569
2010-06-07;22.712,00;3048698518389;23.281,46;3067274128195;23.397,69;2919781449671;21.964,43;261880085008;23.622,49;3410435450356
2010-06-08;22.537,63;3024540130369;23.116,12;3043775165667;23.233,35;2897855101639;21.791,72;259674202485;23.446,45;3385235692385
2010-06-09;22.617,01;3036464804366;23.138,20;3046868226884;23.343,82;2912751612962;21.864,49;260391158994;23.529,22;3397712593215
2010-06-10;22.622,43;3036172785249;23.175,43;3047801105029;23.350,41;2909671196086;21.896,13;260705544904;23.530,62;3397201608321
2010-06-11;22.832,65;3062744337692;23.375,22;3072653485257;23.587,56;2938409543644;22.112,35;263243791836;23.767,10;3430598996887
2010-06-12;22.832,65;3062744337692;23.375,22;3072653485257;23.587,56;2938409543644;22.112,35;263243791836;23.767,10;3430598996887
2010-06-13;22.832,65;3062744337692;23.375,22;3072653485257;23.587,56;2938409543644;22.112,35;263243791836;23.767,10;3430598996887
2010-06-14;22.971,20;3083959441526;23.523,37;3094319913515;23.707,70;2952835904247;22.237,60;264280877120;23.901,60;3455579858900
2010-06-15;23.104,15;3103682543769;23.681,80;3118433325234;23.853,06;2973383196936;22.384,28;261737143030;24.028,80;3469789613794
2010-06-16;23.326,12;3136867562745;23.869,72;3146173422089;24.107,49;3007114748472;22.599,55;264437782972;24.268,34;3504494290422
2010-06-17;23.344,88;3142126649726;23.887,54;3152847917059;24.081,62;3005336062257;22.601,83;269090561877;24.254,64;3505334067933
2010-06-18;23.405,88;3151880339982;23.967,08;3164511918072;24.136,88;3015230136101;22.665,84;269693251404;24.330,09;3516308442286
2010-06-19;23.405,88;3151880339982;23.967,08;3164511918072;24.136,88;3015230136101;22.665,84;269693251404;24.330,09;3516308442286
2010-06-20;23.405,88;3151880339982;23.967,08;3164511918072;24.136,88;3015230136101;22.665,84;269693251404;24.330,09;3516308442286
2010-06-21;23.587,32;3178001101523;24.141,56;3189536715398;24.296,42;3038328036956;22.803,15;270693360752;24.509,74;3543558388508
2010-06-22;23.796,37;3206652226890;24.376,01;3222405494916;24.500,04;3065881340370;23.025,46;273231529225;24.726,42;3576447660772
2010-06-23;23.686,40;3193524522115;24.282,13;3211032563873;24.373,38;3052572456479;22.917,57;271810117515;24.603,61;3560039045078
2010-06-24;23.650,25;3190129163054;24.229,78;3206703672107;24.364,15;3055534179560;22.864,77;271058475284;24.566,24;3555627801423
2010-06-25;23.591,99;3184397378336;24.138,15;3195737137721;24.267,21;3045451603664;22.757,49;269788930644;24.466,64;3542750763851
2010-06-26;23.591,99;3184397378336;24.138,15;3195737137721;24.267,21;3045451603664;22.757,49;269788930644;24.466,64;3542750763851
2010-06-27;23.591,99;3184397378336;24.138,15;3195737137721;24.267,21;3045451603664;22.757,49;269788930644;24.466,64;3542750763851
2010-06-28;23.591,99;3184397378336;24.138,15;3195737137721;24.267,21;3045451603664;22.757,49;269788930644;24.466,64;3542750763851
2010-06-29;23.590,50;3184517842297;24.145,47;3197785283282;24.279,51;3047814058651;22.775,38;269975535294;24.490,33;3546900855183
2010-06-30;23.246,40;3132001165656;23.782,04;3144625494285;23.877,50;2993283603153;22.383,14;265049742661;24.094,86;3490449762415
2010-07-01;23.210,53;3119079876487;23.732,23;3140897751843;23.865,39;2994267512216;22.347,26;259411986510;24.063,01;3488729961568
2010-07-02;23.038,33;3098522792388;23.549,34;3117170428212;23.730,20;2978657004890;22.216,75;257965075924;23.893,50;3458884052832
2010-07-03;23.038,33;3098522792388;23.549,34;3117170428212;23.730,20;2978657004890;22.216,75;257965075924;23.893,50;3458884052832
