
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-04-17;18.736,93;1788073289883;19.307,96;1196707570479;19.269,60;1697591352215;18.453,84;348041873640;18.503,28;2602245345002
2010-04-18;18.736,93;1788073289883;19.307,96;1196707570479;19.269,60;1697591352215;18.453,84;348041873640;18.503,28;2602245345002
2010-04-19;18.681,87;1783861850082;19.256,47;1193151188816;19.226,27;1694453759006;18.409,98;347353995490;18.453,99;2598658489817
2010-04-20;18.665,11;1782176555520;19.235,07;1191293977690;19.189,85;1690851709480;18.394,07;347209035373;18.432,63;2595069428258
2010-04-21;18.732,46;1787769275151;19.302,95;1195394945835;19.249,39;1695299398482;18.443,67;348363965968;18.489,15;2602466274010
2010-04-22;18.728,18;1786358625769;19.298,47;1193881458755;19.244,35;1693556070217;18.428,42;348039203518;18.478,57;2600813487429
2010-04-23;18.687,50;1782082109623;19.262,06;1190180684716;19.203,10;1690039092144;18.387,22;347244704108;18.441,78;2595500605076
2010-04-24;18.687,50;1782082109623;19.262,06;1190180684716;19.203,10;1690039092144;18.387,22;347244704108;18.441,78;2595500605076
2010-04-25;18.687,50;1782082109623;19.262,06;1190180684716;19.203,10;1690039092144;18.387,22;347244704108;18.441,78;2595500605076
2010-04-26;18.713,81;1783861372900;19.288,58;1191453380316;19.239,26;1692549627779;18.417,22;347471273861;18.469,98;2599352905437
2010-04-27;18.726,26;1784977685198;19.298,42;1191072831736;19.246,73;1694101628150;18.419,49;347560582812;18.477,44;2601109027344
2010-04-28;18.663,22;1779338446559;19.252,37;1187479402389;19.164,08;1686359003172;18.379,01;346853839210;18.417,62;2593194188799
2010-04-29;18.679,88;1778252832662;19.258,69;1187555422743;19.185,88;1687594557905;18.377,63;346899651706;18.435,72;2597426318208
2010-04-30;18.710,33;1800000860063;19.286,78;1197338509366;19.233,19;1709928499862;18.399,53;349972063269;18.468,19;2603444338305
2010-05-01;18.710,33;1800000860063;19.286,78;1197338509366;19.233,19;1709928499862;18.399,53;349972063269;18.468,19;2603444338305
2010-05-02;18.710,33;1800000860063;19.286,78;1197338509366;19.233,19;1709928499862;18.399,53;349972063269;18.468,19;2603444338305
2010-05-03;18.691,00;1797626401510;19.265,83;1195270478425;19.215,90;1708559041801;18.384,49;349161910406;18.442,15;2597059278649
2010-05-04;18.691,43;1797831289001;19.265,66;1195071851319;19.223,01;1709867164601;18.385,33;349328139827;18.445,83;2622585418322
2010-05-05;18.634,01;1790719851891;19.228,00;1192758478353;19.154,12;1703905377062;18.342,20;348459528916;18.385,81;2614432840648
2010-05-06;18.583,64;1786244056221;19.188,74;1190194605677;19.094,01;1700580635362;18.292,12;347549190371;18.335,06;2607679708839
2010-05-07;18.460,68;1774909877112;19.098,67;1184362479534;18.984,84;1689284960375;18.197,41;345191073217;18.226,07;2583646947522
2010-05-08;18.460,68;1774909877112;19.098,67;1184362479534;18.984,84;1689284960375;18.197,41;345191073217;18.226,07;2583646947522
2010-05-09;18.460,68;1774909877112;19.098,67;1184362479534;18.984,84;1689284960375;18.197,41;345191073217;18.226,07;2583646947522
2010-05-10;18.413,63;1769938259984;19.052,83;1181862092408;18.922,47;1686451032098;18.160,43;344484780431;18.187,51;2575459534656
2010-05-11;18.543,66;1782382940541;19.179,75;1191597258422;19.055,16;1697823513120;18.251,63;346204622543;18.304,31;2589713230923
2010-05-12;18.576,58;1782009990602;19.209,43;1196829185384;19.072,28;1702907673210;18.283,05;346707775297;18.327,32;2594322562043
2010-05-13;18.608,66;1785180110537;19.228,81;1204570847550;19.101,65;1704936361297;18.295,12;345304995176;18.347,92;2598371279810
2010-05-14;18.632,22;1787720621592;19.254,37;1207342389974;19.121,53;1707684998946;18.323,20;346127328847;18.373,20;2603850028529
2010-05-15;18.632,22;1787720621592;19.254,37;1207342389974;19.121,53;1707684998946;18.323,20;346127328847;18.373,20;2603850028529
2010-05-16;18.632,22;1787720621592;19.254,37;1207342389974;19.121,53;1707684998946;18.323,20;346127328847;18.373,20;2603850028529
2010-05-17;18.619,87;1787990271524;19.261,06;1209112425738;19.135,69;1710903963334;18.323,24;345629460436;18.366,82;2605241070638
2010-05-18;18.605,09;1786113739717;19.241,86;1209161253262;19.113,29;1707460155690;18.306,27;345035392403;18.348,36;2602119966468
2010-05-19;18.609,60;1787581748303;19.265,42;1210955138058;19.123,26;1709392185965;18.317,39;344995106278;18.350,75;2602494694137
2010-05-20;18.564,28;1783284450783;19.221,21;1208678438373;19.081,53;1706106182565;18.298,38;344938210234;18.322,20;2598994433763
2010-05-21;18.564,28;1783284450783;19.221,21;1208678438373;19.081,53;1706106182565;18.298,38;344938210234;18.322,20;2598994433763
2010-05-22;18.564,28;1783284450783;19.221,21;1208678438373;19.081,53;1706106182565;18.298,38;344938210234;18.322,20;2598994433763
2010-05-23;18.564,28;1783284450783;19.221,21;1208678438373;19.081,53;1706106182565;18.298,38;344938210234;18.322,20;2598994433763
2010-05-24;18.427,68;1771003799644;19.103,34;1201976556034;18.980,17;1698063507502;18.199,50;343287407833;18.208,30;2582680084465
2010-05-25;18.391,31;1767964344103;19.070,38;1201434752995;18.944,06;1695508059554;18.149,78;342434290510;18.164,67;2577102661409
2010-05-26;18.333,26;1763655073679;19.011,93;1198700760758;18.890,02;1692415245085;18.094,59;341023328364;18.107,40;2569930935197
2010-05-27;18.354,42;1765837753487;19.051,63;1203958792836;18.937,98;1700883065922;18.114,69;341658169856;18.134,12;2574785441883
2010-05-28;18.433,63;1772458318565;19.086,85;1207511184856;19.018,40;1709724999346;18.154,44;342596322218;18.194,31;2584327022625
2010-05-29;18.433,63;1772458318565;19.086,85;1207511184856;19.018,40;1709724999346;18.154,44;342596322218;18.194,31;2584327022625
2010-05-30;18.433,63;1772458318565;19.086,85;1207511184856;19.018,40;1709724999346;18.154,44;342596322218;18.194,31;2584327022625
2010-05-31;18.468,98;1797512462094;19.123,37;1223123682220;19.045,91;1732444941641;18.184,88;346084075129;18.225,27;2590388183656
2010-06-01;18.505,36;1800698286700;19.164,77;1231036161470;19.080,55;1737699841907;18.225,48;346526022264;18.272,13;2594832521744
2010-06-02;18.467,94;1799939939391;19.139,46;1232309572122;19.060,94;1737246467421;18.206,12;346388369872;18.243,58;2614081030982
2010-06-03;18.521,71;1803827458372;19.173,14;1236242611071;19.093,94;1741944069589;18.231,34;346684514822;18.277,01;2618911175347
2010-06-04;18.565,84;1808684542652;19.221,69;1242160132176;19.123,38;1745314028854;18.266,24;347367059016;18.309,90;2622196540259
2010-06-05;18.565,84;1808684542652;19.221,69;1242160132176;19.123,38;1745314028854;18.266,24;347367059016;18.309,90;2622196540259
2010-06-06;18.565,84;1808684542652;19.221,69;1242160132176;19.123,38;1745314028854;18.266,24;347367059016;18.309,90;2622196540259
2010-06-07;18.505,13;1802775166077;19.203,47;1241518353206;19.098,93;1743932261079;18.252,22;347030791973;18.283,95;2619513098365
2010-06-08;18.470,09;1799613121828;19.184,37;1241640354184;19.079,19;1743306873202;18.232,40;346606056473;18.268,53;2615939657876
2010-06-09;18.517,34;1803260195121;19.198,32;1242697759060;19.108,04;1744200649451;18.253,74;346903266786;18.292,66;2611170363668
2010-06-10;18.496,06;1801989488175;19.185,77;1242893233961;19.103,63;1743925567291;18.249,45;346845548361;18.283,07;2610075420749
2010-06-11;18.553,28;1800977765986;19.233,80;1246768888783;19.152,10;1743729659093;18.283,59;345644305653;18.327,06;2615760557607
2010-06-12;18.553,28;1800977765986;19.233,80;1246768888783;19.152,10;1743729659093;18.283,59;345644305653;18.327,06;2615760557607
2010-06-13;18.553,28;1800977765986;19.233,80;1246768888783;19.152,10;1743729659093;18.283,59;345644305653;18.327,06;2615760557607
2010-06-14;18.567,05;1803242847277;19.243,22;1246271908309;19.171,41;1746476117606;18.299,79;346211201339;18.347,88;2620267604859
2010-06-15;18.599,93;1807883918352;19.283,48;1251854859150;19.201,32;1749896770498;18.336,53;346782559376;18.369,48;2623609509109
2010-06-16;18.664,47;1815029044053;19.328,21;1255972888300;19.254,85;1755709454188;18.383,62;347485956565;18.421,70;2632139918643
2010-06-17;18.646,65;1814225921972;19.307,36;1255472680866;19.239,24;1753497089088;18.369,26;347480190708;18.409,02;2631267463958
2010-06-18;18.671,91;1816770613768;19.340,35;1257783304043;19.256,34;1756598978101;18.397,31;348118876672;18.436,45;2635135012545
2010-06-19;18.671,91;1816770613768;19.340,35;1257783304043;19.256,34;1756598978101;18.397,31;348118876672;18.436,45;2635135012545
2010-06-20;18.671,91;1816770613768;19.340,35;1257783304043;19.256,34;1756598978101;18.397,31;348118876672;18.436,45;2635135012545
2010-06-21;18.741,81;1824459583453;19.403,90;1262125686521;19.309,22;1761998186384;18.447,71;349241164837;18.496,34;2644155101813
2010-06-22;18.795,26;1830266252533;19.460,25;1265912112466;19.356,49;1766222281037;18.487,54;350190242216;18.536,84;2650719847736
2010-06-23;18.785,17;1828831284153;19.455,48;1265610168895;19.341,01;1765285574098;18.489,31;350249948554;18.524,88;2649277530523
2010-06-24;18.790,44;1829505154039;19.465,11;1266423952657;19.344,42;1765242639658;18.497,85;350279597953;18.528,20;2651682267550
2010-06-25;18.798,65;1831354231819;19.459,07;1265687060620;19.341,91;1764880064516;18.491,36;350450993892;18.528,01;2653150961745
2010-06-26;18.798,65;1831354231819;19.459,07;1265687060620;19.341,91;1764880064516;18.491,36;350450993892;18.528,01;2653150961745
2010-06-27;18.798,65;1831354231819;19.459,07;1265687060620;19.341,91;1764880064516;18.491,36;350450993892;18.528,01;2653150961745
2010-06-28;18.798,65;1831354231819;19.459,07;1265687060620;19.341,91;1764880064516;18.491,36;350450993892;18.528,01;2653150961745
2010-06-29;18.801,52;1830485381330;19.461,33;1265742728110;19.345,40;1765276385589;18.499,28;350610581709;18.536,61;2654281431464
2010-06-30;18.753,26;1843922719425;19.389,52;1269008462909;19.277,88;1777369910024;18.449,60;352535833119;18.468,95;2645284110228
2010-07-01;18.775,01;1845585376208;19.409,07;1270654560602;19.287,86;1778114133851;18.462,86;352449541959;18.477,68;2645166050668
2010-07-02;18.748,06;1841838252749;19.381,23;1268715459855;19.268,78;1776164451930;18.450,69;351838211977;18.455,69;2668306162519
2010-07-03;18.748,06;1841838252749;19.381,23;1268715459855;19.268,78;1776164451930;18.450,69;351838211977;18.455,69;2668306162519
2010-07-04;18.748,06;1841838252749;19.381,23;1268715459855;19.268,78;1776164451930;18.450,69;351838211977;18.455,69;2668306162519
2010-07-05;18.723,64;1838625569095;19.355,71;1267369208232;19.247,73;1774359304418;18.424,17;351320452521;18.437,13;2665406649005
2010-07-06;18.731,52;1838682584585;19.358,86;1267455605927;19.251,29;1774097274888;18.424,18;351568613012;18.438,42;2665061534637
2010-07-07;18.758,25;1840890787658;19.400,87;1270337203916;19.277,25;1778478298920;18.456,34;352033173930;18.470,85;2669733854296
2010-07-08;18.817,30;1848489456458;19.470,49;1274500017014;19.334,57;1782232046021;18.511,07;353162927066;18.529,12;2679257167586
2010-07-09;18.877,45;1853776623842;19.538,64;1278783847220;19.389,28;1786462371802;18.559,60;354038965225;18.576,60;2672220024325
2010-07-10;18.877,45;1853776623842;19.538,64;1278783847220;19.389,28;1786462371802;18.559,60;354038965225;18.576,60;2672220024325
2010-07-11;18.877,45;1853776623842;19.538,64;1278783847220;19.389,28;1786462371802;18.559,60;354038965225;18.576,60;2672220024325
2010-07-12;18.921,24;1857726497419;19.590,19;1280397471527;19.427,12;1783206887953;18.606,04;354920042263;18.623,83;2676920251935
2010-07-13;18.934,63;1852203234541;19.606,11;1281731281592;19.441,69;1784768731696;18.614,49;352986176844;18.634,01;2678521662412
