
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-12-16;23.864,65;2881987388924;24.603,99;2541017770135;24.596,32;3735618394960;23.832,71;169077302885;24.322,39;330395502389;23.744,17;3641204956351
2012-12-17;23.896,15;2884112419451;24.628,97;2539899688954;24.621,12;3743767932215;23.878,08;174843635595;24.344,49;327640299701;23.771,31;3643989455610
2012-12-18;23.932,66;2889130915366;24.665,80;2544214275373;24.656,94;3749103565431;23.917,21;175104739032;24.383,40;328148795240;23.814,02;3650772897124
2012-12-19;24.016,71;2899279021061;24.757,57;2552910587629;24.744,70;3759522466693;24.014,28;176009055153;24.468,05;331616613004;23.907,21;3665196744280
2012-12-20;24.048,84;2903167869812;24.788,68;2555815749736;24.774,60;3763630837004;24.028,27;176163619191;24.495,63;331951791181;23.935,18;3669879597178
2012-12-21;24.096,85;2908819373489;24.837,92;2560562244299;24.821,95;3770230020575;24.056,63;176545545290;24.542,52;332528851387;23.984,36;3677470670706
2012-12-22;24.096,85;2908819373489;24.837,92;2560562244299;24.821,95;3770230020575;24.056,63;176545545290;24.542,52;332528851387;23.984,36;3677470670706
2012-12-23;24.096,85;2908819373489;24.837,92;2560562244299;24.821,95;3770230020575;24.056,63;176545545290;24.542,52;332528851387;23.984,36;3677470670706
2012-12-24;24.021,26;2899853171963;24.766,78;2553129828346;24.751,22;3758523803790;23.986,93;176817250825;24.487,83;331808909438;23.908,63;3666263267541
2012-12-25;24.021,26;2899853171963;24.766,78;2553129828346;24.751,22;3758523803790;23.986,93;176817250825;24.487,83;331808909438;23.908,63;3666263267541
2012-12-26;24.072,52;2906432977393;24.825,24;2558829568114;24.805,48;3766826327598;24.043,49;177287810112;24.554,70;332819542502;23.970,32;3676290763636
2012-12-27;24.079,45;2907449268520;24.827,71;2558628391878;24.808,16;3767371739928;24.057,84;177485430071;24.554,58;332864109867;23.980,89;3677682793745
2012-12-28;24.119,59;2907458581614;24.869,24;2564445318497;24.851,19;3764586195314;24.087,14;177873604049;24.584,88;332605804947;24.020,33;3666823754769
2012-12-29;24.119,59;2907458581614;24.869,24;2564445318497;24.851,19;3764586195314;24.087,14;177873604049;24.584,88;332605804947;24.020,33;3666823754769
2012-12-30;24.119,59;2907458581614;24.869,24;2564445318497;24.851,19;3764586195314;24.087,14;177873604049;24.584,88;332605804947;24.020,33;3666823754769
2012-12-31;24.113,57;2906714869177;24.852,22;2562110957015;24.836,07;3762273917700;24.087,37;177920230936;24.570,49;332421219362;24.017,53;3666370840113

Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2013-01-01;24.113,57;2906714869177;24.852,22;2562110957015;24.836,07;3762273917700;24.087,37;177920230936;24.570,49;332421219362;24.017,53;3666370840113
2013-01-02;24.213,19;2918495331487;24.950,21;2571408104272;24.943,42;3778481438468;24.176,71;178572891587;24.668,81;333739323886;24.126,20;3682754582022
2013-01-03;24.359,32;2934362499657;25.101,07;2586122301388;25.062,59;3792788248683;24.315,34;182099674345;24.783,83;331684222092;24.240,32;3691951064392
2013-01-04;24.370,65;2936299068133;25.124,82;2586950148809;25.082,34;3795033588843;24.347,53;182441155141;24.792,14;334128194779;24.238,63;3691587128501
2013-01-05;24.370,65;2936299068133;25.124,82;2586950148809;25.082,34;3795033588843;24.347,53;182441155141;24.792,14;334128194779;24.238,63;3691587128501
2013-01-06;24.370,65;2936299068133;25.124,82;2586950148809;25.082,34;3795033588843;24.347,53;182441155141;24.792,14;334128194779;24.238,63;3691587128501
2013-01-07;24.413,63;2941339893444;25.176,90;2592610047287;25.131,05;3802788596401;24.380,33;182768622507;24.832,46;334621010428;24.270,59;3696246391986
2013-01-08;24.382,45;2953734787341;25.154,30;2618152128395;25.107,69;3828885302355;24.352,14;183329762097;24.798,52;334355222663;24.231,39;3695828545315
2013-01-09;24.326,30;2958026355911;25.110,83;2650589438568;25.057,67;3855686587575;24.301,62;184209452737;24.752,45;333993487633;24.179,41;3697966705237
2013-01-10;24.390,70;2971308405727;25.169,09;2685689046462;25.118,75;3902732113391;24.365,06;185906771108;24.812,68;334945006335;24.240,08;3710801244514
2013-01-11;24.482,29;2985407214941;25.261,28;2701810156164;25.211,76;3925983877666;24.444,81;187847517014;24.895,67;336235873206;24.337,87;3729241304257
2013-01-12;24.482,29;2985407214941;25.261,28;2701810156164;25.211,76;3925983877666;24.444,81;187847517014;24.895,67;336235873206;24.337,87;3729241304257
2013-01-13;24.482,29;2985407214941;25.261,28;2701810156164;25.211,76;3925983877666;24.444,81;187847517014;24.895,67;336235873206;24.337,87;3729241304257
2013-01-14;24.475,33;2988276826954;25.259,59;2710525171723;25.210,14;3934696145158;24.436,89;189870757371;24.899,02;336789087150;24.342,98;3739808761123
2013-01-15;24.520,26;3003608169448;25.305,54;2721044313589;25.248,60;3950828580066;24.484,64;197340802740;24.948,94;335967385900;24.395,18;3752106906490
2013-01-16;24.554,85;3011469211967;25.339,08;2729266226540;25.286,50;3969440917806;24.520,54;200319168006;24.988,60;338869883377;24.435,56;3764963200379
2013-01-17;24.577,82;3015379021263;25.362,18;2735468504855;25.306,03;3975504418003;24.545,39;200792523459;25.009,80;339214118336;24.453,88;3768369915065
2013-01-18;24.599,61;3019692409104;25.388,25;2739815236436;25.335,01;3982140949467;24.567,80;201147683928;25.027,01;339420658681;24.474,62;3772148491156
2013-01-19;24.599,61;3019692409104;25.388,25;2739815236436;25.335,01;3982140949467;24.567,80;201147683928;25.027,01;339420658681;24.474,62;3772148491156
2013-01-20;24.599,61;3019692409104;25.388,25;2739815236436;25.335,01;3982140949467;24.567,80;201147683928;25.027,01;339420658681;24.474,62;3772148491156
